,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
強打者,0,0.28,0.21,2.79,0.38,94.88,57.35,34,26
平均型,1,0.24,0.11,2.18,3.31,52.48,21.14,65,49.6
職人型,2,0.26,0.1,11.69,10.31,77.09,37.06,32,24.4
