,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
平均型,0,0.25,0.1,3.32,7.39,47.7,20.51,84,60
強打者,1,0.28,0.2,2.67,0.88,97.12,47.03,33,23.6
職人型,2,0.29,0.12,22.04,10.83,85.26,64.35,23,16.4
