,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
職人型,0,0.26,0.07,10.67,12.56,75.53,32.44,36,24.7
平均型,1,0.24,0.09,1.73,4.7,43.26,16.72,81,55.5
強打者,2,0.27,0.18,2.66,0.69,95.24,48.52,29,19.9
