,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
強打者,0,0.27,0.18,4.27,1.36,91.75,47.11,44,31
平均型,1,0.24,0.1,2.39,4.9,48.32,17.72,72,50.7
職人型,2,0.28,0.09,14.69,12.69,67.73,29.12,26,18.3
