,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
強打者,0,0.28,0.2,3.72,2,88.13,44.39,54,37.5
平均型,1,0.25,0.1,3.23,6.78,41.95,16.61,64,44.4
職人型,2,0.27,0.1,20.19,19.77,75.85,39.12,26,18.1
