,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
強打者,0,0.27,0.14,4.35,2.61,76.35,43.9,51,35.4
平均型,1,0.24,0.07,2.74,7.62,37.94,15.05,66,45.8
職人型,2,0.26,0.07,16.37,21.85,68.04,31.7,27,18.8
