,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
職人型,0,0.27,0.09,20.41,20.23,81.05,44.41,22,14.6
平均型,1,0.25,0.09,2.93,7.68,41.48,19.91,82,54.3
強打者,2,0.29,0.19,4.21,1.49,81.06,49.38,47,31.1
