,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
職人型,0,0.25,0.08,12.07,17.86,65.34,32.79,29,19
平均型,1,0.25,0.1,3.01,4.09,41.65,18.22,88,57.5
強打者,2,0.28,0.18,6.83,1.69,102.36,59.33,36,23.5
