,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
職人型,0,0.24,0.1,9.55,10.74,58.18,29.05,38,26.8
平均型,1,0.25,0.13,2.28,1.89,46.31,20.26,74,52.1
強打者,2,0.28,0.21,5.6,0.43,90.77,57.43,30,21.1
