,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
平均型,0,0.28,0.15,3.9,2.33,68.37,34.84,49,35.3
職人型,1,0.24,0.1,7.2,8.41,57.2,23.19,64,46
強打者,2,0.28,0.23,6.27,1.5,118.73,72.42,26,18.7
