,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
職人型,0,0.26,0.08,7.88,11.14,62.71,26.9,49,33.3
平均型,1,0.23,0.1,1.58,4.02,45.63,17.95,57,38.8
強打者,2,0.27,0.18,2.95,0.83,93.54,46.76,41,27.9
