,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
職人型,0,0.25,0.09,9.63,20.67,67.56,28.56,27,18.9
平均型,1,0.24,0.1,2.23,4.98,47.85,17.76,62,43.4
強打者,2,0.28,0.19,6.3,1.26,91.61,52.31,54,37.8
