,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
強打者,0,0.27,0.15,4.47,2.18,86.35,40.31,49,35.8
平均型,1,0.24,0.07,2.97,9.84,44.69,16.57,74,54
職人型,2,0.27,0.06,26.14,30.64,80.71,35.21,14,10.2
