,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
強打者,0,0.29,0.19,3.44,1.81,86.03,42.3,63,43.4
平均型,1,0.25,0.1,3.37,8.46,42.67,16.9,63,43.4
職人型,2,0.31,0.1,24.79,24.53,75.53,45.63,19,13.1
