,cluster,打率,IsoP,盗塁,犠打,三振,四球,人数,割合（%）
強打者,0,0.29,0.18,3.46,1.48,81.26,46.78,50,35.5
平均型,1,0.25,0.1,3.37,9.56,47.35,19.69,71,50.4
職人型,2,0.28,0.11,24.75,20.3,89.7,50.4,20,14.2
